"","ice_cover"
"1988",32.9870893444168
"1989",19.9213844510982
"1990",15.5531857869721
"1991",20.3859084151678
"1992",23.2311564312486
"1993",33.0111057601709
"1994",35.2063611047132
"1995",14.332377143575
"1996",35.2066709939488
"1997",28.1647480056115
"1998",31.4057245754727
"1999",28.7364936451768
"2000",27.7873029167277
"2001",27.8539291023681
"2002",24.0692518687577
"2003",35.6933520383593
"2004",27.8698883979983
"2005",23.2406080529324
"2006",34.2250968403861
"2007",17.6754622165456
"2008",12.928269017358
"2009",32.5115643124856
"2010",36.258125170125
"2011",31.1454176176218
"2012",19.8919449737222
"2013",33.8488913084445
"2014",8.41178835402751
"2015",6.99125609832702
"2016",14.8946711614565
"2017",28.2897883121506
"2018",36.4753575242363
"2019",29.311028287862
"2020",10.2821248351096
"2021",19.9416821960259
"2022",32.7255428296237
"2023",35.5275612973471
