"year","month","date","sex","age"
2002,4,"2002-04-29","f",2
2002,9,"2002-09-24","m",1
2003,10,NA,"m",0
2003,12,NA,"f",0
2004,7,"2004-07-09","f",0
2004,12,"2004-12-22","f",0
2005,NA,NA,"m",0
2006,NA,"2006-10-11","f",0
2006,NA,"2006-10-25","m",0
2006,NA,"2006-12-13","m",NA
2007,NA,NA,"f",0
2007,8,"2007-08-20","m",0
2007,7,"2007-07-05","f",2
2007,9,"2007-09-20","f",9
2007,10,"2007-10-02","m",1
2007,11,"2007-11-05","f",1
2007,5,"2007-05-11","m",0
2008,5,"2008-05-13","f",0
2008,5,"2008-05-25","m",0
2008,6,"2008-06-04","m",0
2008,5,NA,"f",0
2008,5,NA,"m",0
2008,6,"2008-06-30","m",0
2008,5,"2008-05-20","f",0
2008,6,"2008-06-02","m",0
2008,5,"2008-05-15","m",0
2008,5,"2008-05-25","m",0
2008,8,"2008-08-02","f",0
2009,6,NA,"m",0
2009,9,"2009-09-22","m",0
2009,4,"2009-04-24","f",0
2010,8,"2010-08-17","m",0
2010,9,"2010-09-02","f",0
2010,10,"2010-10-18","f",0
2010,10,"2010-10-19","f",0
2010,7,"2010-07-10","m",0
2011,9,"2011-09-26","m",4
2011,10,"2011-10-10","f",8
2011,10,"2011-10-18","f",2
2012,6,"2012-06-03","m",0
2012,8,"2012-08-22","f",0
2012,9,"2012-09-05","f",0
2012,9,"2012-09-10","m",0
2012,9,"2012-09-09","m",3
2012,8,"2012-08-10","m",0
2012,6,"2012-06-05","m",0
2012,9,"2012-09-03","m",0
2012,NA,NA,"f",1
2012,8,"2012-08-19","f",0
2012,5,"2012-05-22","m",0
2012,8,"2012-08-04","f",0
2012,8,"2012-08-22","m",0
2012,5,"2012-05-25","f",1
2012,5,"2012-05-25","f",0
2012,5,"2012-05-25","m",0
2012,10,"2012-10-10","m",0
2012,7,"2012-07-15","f",0
2013,8,"2013-08-27","f",0
2013,10,"2013-10-12","f",0
2012,10,"2012-10-20","f",2
2012,9,"2012-09-13","f",0
2013,11,"2013-11-19","m",3
2012,7,"2012-07-09","f",0
2012,9,"2012-09-07","m",0
2012,9,"2012-09-02","m",0
2014,9,"2014-09-05","m",0
2014,8,"2014-08-20","f",0
2012,9,"2012-09-12","f",0
2014,6,"2014-06-28","f",0
2014,7,"2014-07-09","m",0
2014,8,"2014-08-16","f",0
2014,7,"2014-07-04","m",0
2014,5,"2014-05-23","m",0
2014,6,"2014-06-27","m",0
2014,6,"2014-06-20","f",0
2014,6,"2014-06-26","m",0
2013,6,"2013-06-10","m",0
2014,10,"2014-10-03","m",0
2014,6,"2014-06-20","m",0
2014,7,"2014-07-19","m",0
2014,5,"2014-05-26","m",0
2014,8,"2014-08-16","f",0
2014,10,"2014-10-17","m",1
2015,5,"2015-05-21","f",1
2014,9,"2014-09-25","f",0
2014,11,"2014-11-06","f",0
2015,7,"2015-07-13","m",0
2015,6,"2015-05-06","m",1
2015,5,"2015-05-01","m",0
2015,9,"2015-09-29","m",0
2015,7,"2015-07-19","m",0
2015,6,"2015-06-25","f",20
2015,10,"2015-10-09","f",0
2015,10,"2015-10-31","f",0
2015,8,"2015-08-28","f",1
2015,NA,NA,"m",0
2016,7,"2016-07-09","m",0
2015,5,"2015-05-27","f",0
2016,7,NA,"m",1
2015,9,"2015-09-04","m",0
2017,10,"2017-10-14","m",0
2015,6,"2015-06-21","m",0
2017,10,"2017-10-21","f",0
2016,8,"2016-08-21","f",0
2017,6,"2017-06-03","m",0
2016,10,"2016-10-10","m",0
2016,8,"2016-08-28","f",0
2016,8,"2016-08-01","f",0
2018,NA,NA,"m",0
2015,5,"2015-05-07","f",0
2020,NA,NA,"m",0
2020,NA,NA,"f",0
2020,NA,NA,"m",0
2021,6,"2021-06-13","m",0
2004,NA,NA,"f",NA
2008,6,"2008-06-16","f",0
2008,7,"2008-07-08","m",0
2008,10,"2008-10-01","f",27
2008,6,"2008-06-21","f",0
2008,NA,NA,"f",26
2009,10,"2009-10-30","f",10
2009,10,"2009-10-28","f",0
