"year","month","age","CA","placental_scar"
1990,4,15,0,NA
1990,4,17,0,NA
1990,4,15,0,NA
1990,4,11,0,NA
1990,4,9,1,NA
1991,4,14,0,NA
1991,4,22,0,NA
1991,4,22,0,NA
1991,4,22,0,NA
1992,4,15,1,NA
1992,4,23,0,NA
1993,5,10,0,NA
1993,5,23,0,NA
1994,5,4,0,NA
1995,4,32,0,NA
1995,4,12,0,NA
1995,4,8,0,NA
1996,4,12,0,NA
1996,4,6,1,NA
1996,4,11,1,NA
1996,4,14,0,NA
1996,4,6,0,NA
1996,4,20,1,NA
1996,4,14,0,NA
1996,4,18,1,NA
1996,11,29,1,NA
1997,5,7,0,NA
1997,5,7,1,NA
1997,5,6,1,NA
1997,5,8,1,NA
1997,5,6,0,NA
1997,5,7,1,NA
1998,4,4,0,NA
1998,4,25,0,NA
1998,4,13,0,NA
1998,4,20,0,NA
1998,4,12,0,NA
1999,4,19,0,NA
1999,4,13,1,NA
1999,5,11,1,NA
1999,5,22,1,NA
1999,5,6,1,NA
2000,4,6,1,NA
2000,4,15,1,NA
2000,4,9,1,NA
2002,4,13,1,NA
2002,4,9,1,NA
2002,4,20,0,NA
2002,4,17,0,NA
2002,4,17,1,NA
2002,4,4,0,NA
2004,4,10,1,NA
2004,4,6,1,NA
2004,4,6,1,NA
2004,4,20,1,NA
2004,4,9,1,NA
2004,5,35,0,NA
2004,10,5,1,NA
2006,4,7,0,NA
2006,4,6,0,NA
2006,4,15,1,NA
2006,4,10,1,NA
2006,4,13,0,NA
2007,4,8,1,NA
2007,4,16,0,NA
2008,6,14,1,NA
2008,6,18,1,NA
2009,5,12,1,NA
2009,5,6,1,NA
2009,5,27,1,NA
2009,5,14,1,NA
2009,5,5,0,NA
2009,5,8,0,NA
2009,6,6,1,NA
2009,10,8,0,NA
2009,10,20,1,NA
2009,10,8,0,NA
2009,10,13,0,NA
2009,11,6,1,NA
2011,5,9,0,NA
2011,5,4,NA,1
2011,5,8,1,1
2011,5,5,1,1
2011,5,5,0,NA
2011,5,6,NA,1
2013,11,6,0,NA
2015,10,16,1,NA
2016,4,10,1,1
2016,4,8,1,1
2016,4,7,1,1
2016,4,18,1,1
2016,4,7,0,0
2016,5,11,0,0
2016,5,12,0,0
2016,5,21,1,1
2017,4,7,1,1
2017,4,11,1,1
2017,4,9,1,1
2017,4,7,0,NA
2017,4,12,1,1
2017,4,10,1,1
2017,4,12,1,1
2017,4,17,NA,1
2017,4,15,1,1
2017,4,21,0,0
2017,4,30,0,0
2017,5,4,0,NA
2017,5,10,1,1
2017,5,15,1,1
2017,5,15,1,1
2017,5,6,0,1
2017,5,9,1,1
2017,5,23,1,0
2017,5,10,1,0
2017,5,6,1,1
2017,5,8,0,0
2017,5,12,1,NA
2017,5,13,0,0
2017,5,5,1,0
2017,5,5,1,1
2017,5,10,1,1
2017,5,13,0,NA
2017,5,8,1,NA
2018,4,9,1,1
2018,4,15,1,1
2018,4,5,0,NA
2018,4,17,1,1
2018,4,19,0,0
2018,4,11,1,1
2018,4,8,0,0
2018,4,11,1,1
2018,4,8,1,1
2018,4,16,1,1
2018,4,10,1,1
2018,4,11,1,1
2018,4,4,0,NA
2018,4,9,1,1
2018,4,11,1,1
2018,4,15,1,0
2018,4,7,1,1
2018,5,16,1,1
2018,5,12,1,1
2018,5,12,1,1
2018,5,6,1,1
2018,5,12,1,0
2018,5,12,0,0
2018,5,11,1,1
2018,5,4,0,0
2018,5,8,1,0
2018,5,12,0,0
2018,5,9,1,1
2018,5,7,1,1
2018,5,16,1,1
2018,5,7,1,1
2018,5,4,1,1
2018,5,12,1,1
2018,5,7,1,1
2018,5,7,1,1
2018,5,11,1,1
2019,4,11,1,1
2019,4,9,1,1
2019,4,6,1,1
2019,4,4,0,0
2019,4,6,1,1
2019,4,6,1,1
2019,4,18,1,1
2019,4,6,1,1
2019,4,22,1,1
2019,4,7,1,1
2019,4,7,1,1
2019,4,9,1,NA
2019,4,7,1,1
2019,4,6,0,NA
2019,4,12,1,0
2019,4,13,1,1
2019,4,5,NA,0
2019,4,7,1,1
2019,4,18,1,1
2019,4,15,1,1
2019,4,8,0,0
2019,4,15,0,0
2019,4,16,1,1
2019,4,16,0,0
2019,4,17,1,1
2019,4,7,1,1
2019,4,17,1,1
2019,4,15,0,0
2019,4,10,1,1
2019,4,9,1,1
2019,4,14,1,0
2019,4,12,1,1
2019,4,7,1,1
2019,5,7,1,1
2019,5,15,1,1
2019,5,7,1,1
2019,5,6,1,1
2019,5,5,1,1
2019,5,6,1,1
2019,5,7,0,1
2020,4,7,1,1
2020,4,10,1,1
2020,4,14,1,1
2020,4,11,0,0
2020,4,8,0,0
2020,4,5,0,0
2020,4,19,1,0
2020,4,17,1,1
2020,4,8,1,1
2020,4,10,1,1
2020,4,11,1,1
2020,4,13,0,0
2020,4,10,1,1
2020,4,18,1,1
2020,4,8,0,0
2020,4,23,1,1
2020,4,7,1,1
2020,4,7,1,1
2020,4,14,0,0
2020,4,10,0,0
2020,4,8,1,1
2020,4,8,1,1
2020,4,9,0,NA
2020,4,6,1,1
2020,4,11,1,1
2020,4,7,1,0
2020,4,10,0,0
2020,4,13,1,0
2020,4,9,1,1
2020,4,11,1,1
2020,4,19,1,1
2020,4,15,1,1
2020,4,12,1,1
2020,4,18,1,1
2020,4,19,1,1
2020,4,20,1,1
2020,4,11,1,1
2020,4,13,1,1
2020,4,15,1,1
2020,4,11,1,1
2020,4,16,1,1
2020,4,19,0,1
2020,4,12,1,1
2020,4,8,1,1
2020,4,15,0,NA
2020,4,13,0,NA
2020,4,7,1,1
2020,4,7,1,1
2020,4,12,1,1
2020,4,12,0,NA
2020,4,9,1,1
2020,4,8,1,1
2020,4,10,0,NA
2020,4,12,1,1
2020,4,26,0,0
2020,4,9,1,1
2020,4,9,1,1
2020,4,14,1,1
2020,4,10,1,0
2020,4,10,1,1
2020,4,8,1,1
2020,4,9,0,0
2020,4,13,1,1
2020,4,17,1,0
2020,4,11,1,1
2020,4,15,1,1
2020,4,8,1,1
2020,5,9,1,0
2020,5,26,1,1
2020,5,10,0,NA
2020,5,4,1,1
2021,4,18,0,NA
2021,4,19,1,0
2021,4,13,1,1
2021,4,18,0,NA
2021,4,9,1,1
2021,4,10,0,NA
2021,4,6,1,1
2021,4,25,0,NA
2021,4,16,1,1
2021,4,10,1,0
2021,4,11,1,1
2021,4,18,0,NA
2021,5,9,1,1
2021,5,8,1,1
2021,5,9,1,1
2021,5,18,1,1
2021,5,9,1,1
2021,5,9,0,0
2021,5,8,1,1
2021,5,5,0,0
2021,5,9,NA,0
2021,5,12,0,0
2021,5,11,1,1
2021,5,7,0,0
2021,5,8,0,0
2021,5,14,1,1
2021,5,4,0,0
2021,5,15,1,1
2021,5,10,0,0
2021,5,20,1,NA
2021,5,15,1,NA
2021,5,12,0,NA
2021,5,14,1,1
2021,5,23,0,NA
2022,4,9,1,1
2022,4,15,0,0
2022,4,14,0,0
2022,4,5,0,0
2022,4,8,1,1
2022,4,10,0,0
2022,4,12,0,0
2022,4,16,1,0
2022,5,7,1,NA
2022,5,11,1,1
2022,5,10,0,0
2022,5,6,1,NA
2022,5,7,1,1
2022,5,8,1,0
2022,5,8,0,0
2022,5,7,1,1
2022,5,9,1,1
2022,5,5,0,0
2022,5,14,1,1
2022,5,11,0,0
2022,5,5,1,1
2022,5,9,1,1
2022,5,8,1,1
2022,5,10,1,1
2022,5,11,1,1
2022,5,8,0,0
2022,5,8,1,1
2022,5,6,1,1
2022,5,11,1,1
2022,5,10,1,1
2022,5,11,1,1
2022,5,12,1,1
2022,5,5,1,0
2022,5,8,0,0
2022,5,9,1,0
2022,5,7,0,0
2022,5,13,0,0
2022,5,7,1,0
2022,5,10,1,1
2022,5,11,1,1
2022,5,16,0,0
2022,5,14,1,1
